 id ,CompanySize,CompanyType,CompetePeers,Country,DeveloperType,EducationTypes,ExpectedSalary,Gender,JobSatisfaction,MajorUndergrad,Race,Salary
0,NA,NA,Disagree,United States,NA,Online course; Open source contributions,NA,Male,NA,NA,White or of European descent,NA
1,20 to 99 employees,Privately-held limited company; not in startup mode,NA,United Kingdom,NA,Online course; Self-taught; Hackathon; Open source contributions,37500,Male,NA,Computer science or software engineering,White or of European descent,NA
2,10;000 or more employees,Publicly-traded corporation,Disagree,United Kingdom,Other,Self-taught; Coding competition; Hackathon; Open source contributions,NA,Male,9,Computer science or software engineering,White or of European descent,113750
3,10;000 or more employees,Non-profit/non-governmental organization or private school/university,Somewhat agree,United States,NA,NA,NA,Male,3,A non-computer-focused engineering discipline,White or of European descent,NA
4,10 to 19 employees,Privately-held limited company; not in startup mode,NA,Switzerland,Mobile developer; Graphics programming; Desktop applications developer,NA,NA,nonbinary,8,Computer science or software engineering,NA,NA
5,NA,NA,NA,New Zealand,NA,Self-taught; Hackathon; Open source contributions,NA,nonbinary,NA,NA,White or of European descent,NA
6,20 to 99 employees,Government agency or public school/university,NA,United States,NA,Online course; Part-time/evening course; On-the-job training; Self-taught; Open source contributions,NA,Male,6,A non-computer-focused engineering discipline,White or of European descent,NA
7,Fewer than 10 employees,Pre-series A startup,NA,Poland,Web developer,Online course; On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,NA,Male,7,Computer science or software engineering,White or of European descent,NA
8,5;000 to 9;999 employees,Privately-held limited company; not in startup mode,Strongly agree,Colombia,Web developer; Mobile developer,NA,NA,Male,6,Computer science or software engineering,Hispanic or Latino/Latina,NA
9,NA,NA,NA,France,Mobile developer; Desktop applications developer,Self-taught; Open source contributions,NA,Male,8,Computer science or software engineering,White or of European descent,NA
10,100 to 499 employees,Venture-funded startup,NA,United States,NA,Online course; On-the-job training; Self-taught,NA,Female,9,A social science,White or of European descent,NA
11,100 to 499 employees,Privately-held limited company; not in startup mode,NA,Canada,Web developer,NA,NA,nonbinary,6,Computer science or software engineering,NA,NA
12,NA,NA,NA,United Kingdom,NA,NA,NA,Male,NA,Mathematics or statistics,White or of European descent,NA
13,Fewer than 10 employees,Venture-funded startup,NA,Germany,Web developer,Part-time/evening course; On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,NA,Female,6,Computer science or software engineering,Hispanic or Latino/Latina,NA
