 id ,CompanySize,CompanyType,CompetePeers,DeveloperType,HaveAssembly,HaveC,HaveC#,HaveC++,HaveJava,HaveJavaScript,HaveObjective-C,HavePHP,HavePerl,HavePython,HaveR,HaveRuby,HaveSQL,HaveSwift,HaveTypeScript,HaveVB.NET,HaveVBA,JobSatisfaction,MajorUndergrad,Salary,WantAssembly,WantC,WantC#,WantC++,WantJava,WantJavaScript,WantObjective-C,WantPHP,WantPerl,WantPython,WantR,WantRuby,WantSQL,WantSwift,WantTypeScript,WantVB.NET,WantVBA
2,10000 or more employees,Publicly-traded corporation,Disagree,Other,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,9,Computer science or software engineering,110001-120000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,5000 to 9999 employees,Publicly-traded corporation,Somewhat agree,Embedded applications/devices developer,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Computer engineering or electrical/electronics engineering,90001-100000,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
17,1000 to 4999 employees,Publicly-traded corporation,Strongly disagree,Web developer,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,8,Computer science or software engineering,120001-130000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
25,10000 or more employees,Publicly-traded corporation,Somewhat agree,Web developer,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,Computer science or software engineering,170001-180000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,500 to 999 employees,Sole proprietorship or partnership not in startup mode,Agree,Web developer,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,9,Computer programming or Web development,20001-30000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
52,1000 to 4999 employees,Sole proprietorship or partnership not in startup mode,Disagree,Web developer,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,5,Computer engineering or electrical/electronics engineering,1-10000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61,5000 to 9999 employees,Privately-held limited company not in startup mode,Agree,Web developer,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,Computer science or software engineering,1-10000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
64,10000 or more employees,Privately-held limited company not in startup mode,Somewhat agree,Desktop applications developer,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,5,Computer science or software engineering,50001-60000,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
65,20 to 99 employees,Privately-held limited company not in startup mode,Disagree,Web developer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,Computer science or software engineering,1-10000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,100 to 499 employees,Venture-funded startup,Somewhat agree,Web developer,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,Computer science or software engineering,110001-120000,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
75,500 to 999 employees,Privately-held limited company not in startup mode,Disagree,Web developer,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,2,Mathematics or statistics,30001-40000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
76,1000 to 4999 employees,Government agency or public school/university,Disagree,Web developer,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,Computer engineering or electrical/electronics engineering,90001-100000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
