Race,Gender,Country,EducationType,MajorUndergraduate,DeveloperType,CompetePeers,CompanySize,CompanyType,JobSatisfaction
White or of European descent,Male,United Kingdom,Self-taught; Coding competition; Hackathon; Open source contributions,Computer science or software engineering,Other,Disagree,10 000 or more employees,Publicly-traded corporation,9
Native American  Pacific Islander  or Indigenous Australian; White or of European descent,Male,United States,On-the-job training; Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Web developer; Embedded applications/devices developer; DevOps specialist; Quality assurance engineer; Other,Strongly disagree,1 000 to 4 999 employees,Publicly-traded corporation,8
I prefer not to say,Male,Greece,On-the-job training; Self-taught,A natural science,Data scientist; Other,Strongly disagree,Fewer than 10 employees,Venture-funded startup,8
White or of European descent,Male,United Kingdom,Online course; Industry certification; On-the-job training; Self-taught,A natural science,Web developer; Mobile developer; Desktop applications developer; DevOps specialist; Other,Agree,20 to 99 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Italy,Self-taught; Hackathon,Computer science or software engineering,Machine learning specialist; Developer with a statistics or mathematics background,Somewhat agree,Fewer than 10 employees,I don't know,4
Hispanic or Latino/Latina,Male,Argentina,Online course; On-the-job training; Self-taught; Open source contributions,Computer programming or Web development,Web developer; Mobile developer; Desktop applications developer,Agree,500 to 999 employees,Sole proprietorship or partnership  not in startup mode,9
White or of European descent,Male,United States,Online course; Part-time/evening course; Industry certification; Self-taught; Open source contributions,Computer programming or Web development,Web developer; Developer with a statistics or mathematics background; Desktop applications developer,Agree,10 000 or more employees,Privately-held limited company  not in startup mode,5
South Asian,Male,Sri Lanka,On-the-job training; Self-taught; Coding competition,Computer science or software engineering,Web developer; Mobile developer; Desktop applications developer,Agree,500 to 999 employees,Privately-held limited company  not in startup mode,8
Middle Eastern,Male,Malaysia,Online course; On-the-job training; Self-taught; Hackathon,Computer science or software engineering,Web developer; Mobile developer; Systems administrator,Agree,10 to 19 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Israel,Online course; Self-taught,Computer science or software engineering,Web developer,Agree,20 to 99 employees,Privately-held limited company  not in startup mode,10
South Asian,Male,India,Part-time/evening course; On-the-job training; Self-taught,Computer science or software engineering,Web developer,Agree,5 000 to 9 999 employees,Privately-held limited company  not in startup mode,5
White or of European descent,Male,Netherlands,Online course; Self-taught,Computer science or software engineering,Desktop applications developer,Somewhat agree,10 000 or more employees,Privately-held limited company  not in startup mode,5
Middle Eastern,Male,Poland,On-the-job training; Hackathon,Computer science or software engineering,Web developer,Disagree,20 to 99 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,United States,On-the-job training; Self-taught,Computer engineering or electrical/electronics engineering,Embedded applications/devices developer,Disagree,10 000 or more employees,Publicly-traded corporation,5
White or of European descent,Male,Finland,Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Database administrator; Systems administrator; DevOps specialist; Quality assurance engineer,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,United States,Online course; Bootcamp; Part-time/evening course; On-the-job training; Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Web developer,Somewhat agree,100 to 499 employees,Venture-funded startup,5
White or of European descent,Male,Austria,Online course; On-the-job training; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,DevOps specialist; Other,Disagree,500 to 999 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,France,Online course; Part-time/evening course; On-the-job training; Self-taught; Open source contributions,Mathematics or statistics,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Desktop applications developer; DevOps specialist,Disagree,500 to 999 employees,Privately-held limited company  not in startup mode,2
White or of European descent,Male,United States,Online course; Bootcamp; Self-taught; Coding competition; Hackathon; Open source contributions,Computer science or software engineering,Web developer,Somewhat agree,10 000 or more employees,Publicly-traded corporation,5
Hispanic or Latino/Latina; Native American  Pacific Islander  or Indigenous Australian,Male,Mexico,Online course; On-the-job training; Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Web developer; Mobile developer; Database administrator; Systems administrator,Disagree,10 to 19 employees,Privately-held limited company  not in startup mode,10
Hispanic or Latino/Latina,Male,Brazil,Online course; On-the-job training; Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Web developer,Disagree,100 to 499 employees,I prefer not to answer,8
White or of European descent,Male,Croatia,Online course; Self-taught; Open source contributions,Computer science or software engineering,Web developer,Disagree,10 to 19 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,Poland,On-the-job training; Self-taught; Coding competition,Computer science or software engineering,Web developer,Agree,20 to 99 employees,State-owned company,6
White or of European descent,Male,United States,Online course; On-the-job training; Self-taught,Computer science or software engineering,Web developer; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist; Quality assurance engineer,Somewhat agree,10 to 19 employees,Government agency or public school/university,6
White or of European descent,Male,Germany,Self-taught; Open source contributions,Computer engineering or electrical/electronics engineering,Developer with a statistics or mathematics background; Desktop applications developer; Other,Disagree,20 to 99 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,United Kingdom,Industry certification; Self-taught; Open source contributions,Mathematics or statistics,Desktop applications developer,Disagree,10 to 19 employees,Privately-held limited company  not in startup mode,0
South Asian,Male,India,Self-taught,A natural science,Desktop applications developer,Disagree,20 to 99 employees,Privately-held limited company  not in startup mode,7
