A business discipline,2.0358
A humanities discipline,2.1306
A natural science,4.3587
A non-computer-focused engineering discipline,4.1881
A social science,1.4782
Computer engineering or electrical/electronics engineering,10.1711
Computer programming or Web development,8.7281
Computer science or software engineering,50.7228
Fine arts or performing arts,1.5567
I never declared a major,1.3293
Information technology, networking, or system administration,4.8324
Management information systems,1.5702
Mathematics or statistics,3.8741
Something else,2.2795
other,0.7445
