     ,0,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,
CoffeeScript,6,6,16,36,39,93,87,168,169,109,86,815,,,6,6,16,36,39,93,87,168,169,109,86,815,0
Swift,36,29,92,132,150,343,414,765,849,532,409,3751,,,36,29,92,132,150,343,414,765,849,532,409,3751,0
Haskell,25,14,43,76,76,141,214,399,401,232,141,1762,,,25,14,43,76,76,141,214,399,401,232,141,1762,0
 F#  ,11,9,42,81,86,154,227,394,428,263,123,1818,,,11,9,42,81,86,154,227,394,428,263,123,1818,0
Dart ,5,5,9,22,18,44,41,63,86,59,37,389,,,5,5,9,22,18,44,41,63,86,59,37,389,0
 Go  ,47,40,103,212,234,445,601,997,1103,694,471,4947,,,47,40,103,212,234,445,601,997,1103,694,471,4947,0
Elixir,13,8,28,53,57,134,174,297,325,165,148,1402,,,13,8,28,53,57,134,174,297,325,165,148,1402,0
 PHP ,59,40,83,173,169,401,442,826,863,528,486,4070,,,59,40,83,173,169,401,442,826,863,528,486,4070,0
CommonLisp,9,3,14,20,25,45,52,83,85,72,56,464,,,9,3,14,20,25,45,52,83,85,72,56,464,0
 C++ ,90,44,135,256,260,495,609,1022,1193,749,525,5378,,,90,44,135,256,260,495,609,1022,1193,749,525,5378,0
Erlang,12,5,28,40,36,85,89,201,195,116,102,909,,,12,5,28,40,36,85,89,201,195,116,102,909,0
Clojure,19,10,25,64,62,106,115,221,252,140,109,1123,,,19,10,25,64,62,106,115,221,252,140,109,1123,0
Smalltalk,4,2,8,12,8,22,39,70,80,56,37,338,,,4,2,8,12,8,22,39,70,80,56,37,338,0
Ruby ,42,30,85,126,143,308,382,616,676,426,337,3171,,,42,30,85,126,143,308,382,616,676,426,337,3171,0
Scala,33,33,69,135,110,256,344,555,566,368,222,2691,,,33,33,69,135,110,256,344,555,566,368,222,2691,0
Hack ,9,5,5,7,11,20,30,46,34,24,39,230,,,9,5,5,7,11,20,30,46,34,24,39,230,0
VisualBasic6,6,3,2,7,6,19,13,29,36,26,20,167,,,6,3,2,7,6,19,13,29,36,26,20,167,0
Python,97,79,259,373,470,883,1158,2028,2176,1405,881,9809,,,97,79,259,373,470,883,1158,2028,2176,1405,881,9809,0
Matlab,7,5,22,30,29,58,78,128,133,79,59,628,,,7,5,22,30,29,58,78,128,133,79,59,628,0
Java ,85,78,186,328,363,724,951,1527,1719,1037,697,7695,,,85,78,186,328,363,724,951,1527,1719,1037,697,7695,0
JavaScript,138,120,312,573,597,1231,1588,2795,3086,1978,1337,13755,,,138,120,312,573,597,1231,1588,2795,3086,1978,1337,13755,0
  C  ,64,22,71,158,185,307,392,627,714,457,352,3349,,,64,22,71,158,185,307,392,627,714,457,352,3349,0
 SQL ,118,84,194,382,430,837,1131,1879,2095,1412,920,9482,,,118,84,194,382,430,837,1131,1879,2095,1412,920,9482,0
 VBA ,7,4,10,11,10,27,37,79,65,47,40,337,,,7,4,10,11,10,27,37,79,65,47,40,337,0
Julia,7,3,14,20,17,35,44,62,83,69,48,402,,,7,3,14,20,17,35,44,62,83,69,48,402,0
Objective-C,22,9,37,62,74,148,155,287,310,230,180,1514,,,22,9,37,62,74,148,155,287,310,230,180,1514,0
Assembly,23,9,39,43,55,92,160,213,242,151,148,1175,,,23,9,39,43,55,92,160,213,242,151,148,1175,0
  R  ,23,17,74,105,112,190,272,433,462,285,182,2155,,,23,17,74,105,112,190,272,433,462,285,182,2155,0
Rust ,20,5,41,82,97,167,296,467,531,302,211,2219,,,20,5,41,82,97,167,296,467,531,302,211,2219,0
VB.NET,10,4,14,24,29,51,63,125,127,73,70,590,,,10,4,14,24,29,51,63,125,127,73,70,590,0
 Lua ,13,8,19,34,34,67,85,149,181,110,90,790,,,13,8,19,34,34,67,85,149,181,110,90,790,0
Groovy,9,8,18,38,27,66,103,148,165,109,83,774,,,9,8,18,38,27,66,103,148,165,109,83,774,0
TypeScript,42,37,107,198,230,450,613,1090,1236,762,427,5192,,,42,37,107,198,230,450,613,1090,1236,762,427,5192,0
Perl ,14,8,18,29,33,80,93,162,187,107,101,832,,,14,8,18,29,33,80,93,162,187,107,101,832,0
 C#  ,86,66,203,329,398,736,1017,1772,1940,1207,747,8501,,,86,66,203,329,398,736,1017,1772,1940,1207,747,8501,0
,1211,852,2425,4271,4680,9260,12109,20723,22793,14379,9921,102624,,,1211,852,2425,4271,4680,9260,12109,20723,22793,14379,9921,102624,0
