JavaScript,192,171,412,781,857,1703,2272,3938,4417,2879,2021,,,JavaScript, SQL ,Java , C#  , PHP ,Python, C++ ,  C  ,TypeScript,Ruby ,Objective-C,Swift,VB.NET,Assembly, Go  
 SQL ,181,145,359,679,766,1471,1922,3251,3580,2347,1570,,0,192,181,132,115,102,97,78,76,25,27,22,27,28,23,17
Java ,132,110,264,467,517,1021,1363,2253,2535,1557,1131,,1,171,145,110,87,79,72,56,40,22,19,17,17,18,12,11
 C#  ,115,87,248,397,486,964,1256,2151,2467,1544,1026,,2,412,359,264,248,177,196,125,108,55,54,34,28,49,28,28
 PHP ,102,79,177,351,397,803,970,1616,1773,1151,949,,3,781,679,467,397,351,322,237,183,108,93,70,68,77,37,53
Python,97,72,196,322,392,756,988,1813,2010,1415,918,,4,857,766,517,486,397,392,245,228,118,121,73,75,83,52,59
 C++ ,78,56,125,237,245,515,635,1067,1385,822,641,,5,1703,1471,1021,964,803,756,515,445,255,217,170,168,178,98,112
  C  ,76,40,108,183,228,445,546,864,1083,654,552,,6,2272,1922,1363,1256,970,988,635,546,355,324,207,203,231,130,139
TypeScript,25,22,55,108,118,255,355,607,780,489,364,,7,3938,3251,2253,2151,1616,1813,1067,864,607,562,399,390,395,185,227
Ruby ,27,19,54,93,121,217,324,562,641,445,319,,8,4417,3580,2535,2467,1773,2010,1385,1083,780,641,484,433,430,238,302
Objective-C,22,17,34,70,73,170,207,399,484,339,293,,9,2879,2347,1557,1544,1151,1415,822,654,489,445,339,318,245,162,235
Swift,27,17,28,68,75,168,203,390,433,318,248,,10,2021,1570,1131,1026,949,918,641,552,364,319,293,248,180,167,157
VB.NET,28,18,49,77,83,178,231,395,430,245,180,,,,,,,,,,,,,,,,,
Assembly,23,12,28,37,52,98,130,185,238,162,167,,,,,,,,,,,,,,,,,
 Go  ,17,11,28,53,59,112,139,227,302,235,157,,,,,,,,,,,,,,,,,
Perl ,12,14,28,60,58,110,158,283,302,187,157,,,,,,,,,,,,,,,,,
  R  ,13,10,43,54,51,113,130,237,289,221,136,,,,,,,,,,,,,,,,,
 VBA ,17,16,37,51,65,140,129,264,319,185,130,,,,,,,,,,,,,,,,,
CoffeeScript,6,12,22,33,37,78,125,191,251,161,129,,,,,,,,,,,,,,,,,
Matlab,21,16,28,36,49,85,123,215,256,149,121,,,,,,,,,,,,,,,,,
Scala,12,9,17,44,39,94,127,226,287,193,117,,,,,,,,,,,,,,,,,
Groovy,16,12,22,50,46,65,129,215,250,188,117,,,,,,,,,,,,,,,,,
 Lua ,12,5,17,28,27,56,81,136,153,101,98,,,,,,,,,,,,,,,,,
VisualBasic6,13,14,20,40,35,96,85,151,176,120,90,,,,,,,,,,,,,,,,,
Haskell,8,6,10,20,24,34,47,65,93,66,51,,,,,,,,,,,,,,,,,
Elixir,5,2,7,18,9,24,31,59,79,47,48,,,,,,,,,,,,,,,,,
 F#  ,4,3,7,16,19,35,43,79,91,49,40,,,,,,,,,,,,,,,,,
Clojure,6,6,4,13,14,26,28,73,86,45,35,,,,,,,,,,,,,,,,,
Smalltalk,3,2,8,5,4,16,31,61,72,45,34,,,,,,,,,,,,,,,,,
Rust ,9,2,11,5,17,21,35,54,71,43,33,,,,,,,,,,,,,,,,,
Erlang,4,2,7,11,7,18,24,44,47,35,30,,,,,,,,,,,,,,,,,
CommonLisp,4,3,7,7,5,22,18,33,39,16,22,,,,,,,,,,,,,,,,,
Hack ,3,2,2,1,1,10,5,13,8,12,19,,,,,,,,,,,,,,,,,
Dart ,2,3,4,2,7,10,13,22,19,20,16,,,,,,,,,,,,,,,,,
Julia,2,2,2,4,5,8,6,15,23,15,14,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     ,0,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,
